CLASS,PROPERTY,DATA TYPE,LABEL(S),COMMENT(S)
SWCOMPONENT,dataInsertedBy,ACTIVITY,,The activity that caused this data to be added to RACK
SWCOMPONENT,description,string,,"A free-form, multi-line, human-readable explanation of this data element."
SWCOMPONENT,generatedAtTime,dateTime,,The time this entity was created and available for use
SWCOMPONENT,identifier,string,,identifier is any data item that is used to associate items on when loading into the data store.
SWCOMPONENT,invalidatedAtTime,dateTime,,The time at which this entity was no longer usable
SWCOMPONENT,title,string,,"A short, human-readable identifying label."
SWCOMPONENT,wasAttributedTo,AGENT,,Attribution is the ascribing of an entity to an agent. https://www.w3.org/TR/prov-dm/#concept-attribution
SWCOMPONENT,wasDerivedFrom,ENTITY,,"A derivation is a transformation of an entity into another, an update of an entity resulting in a new one, or the construction of a new entity based on a pre-existing entity."
SWCOMPONENT,wasGeneratedBy (SHARED PROPERTY),ACTIVITY,,Generation is the completion of production of a new entity by an activity. This entity did not exist before generation and becomes available for usage after this generation. (SHARED PROPERTY)
SWCOMPONENT,wasImpactedBy,ENTITY,,"Indicates that an entity materially affected another entity, and changing the former might affect or invalidate the latter."
SWCOMPONENT,wasRevisionOf,ENTITY,,Indicates a direct line of primary descendancy from one entity to a derivative entity.
SWCOMPONENT,componentType,COMPONENT_TYPE,,Type of component
SWCOMPONENT,instantiates,ENTITY,,What logical component (system) does this physical component (code) instantiate or implement?
SWCOMPONENT,mentions,SWCOMPONENT,,"A component referenced by this one, e.g., a callee or variable being used."
SWCOMPONENT,subcomponentOf,SWCOMPONENT,,"A structural sub-component, e.g., a function might be a subcomponent of module."
SWCOMPONENT,valueType,string,,"The type of this value, if applicable (e.g. for functions or variables)."
FUNCTION,,,,defines functionality / capability
FUNCTION,definedIn,FILE,,The file an ENTITY is defined or contained in
FUNCTION,dataInsertedBy,ACTIVITY,,The activity that caused this data to be added to RACK
FUNCTION,description,string,,"A free-form, multi-line, human-readable explanation of this data element."
FUNCTION,generatedAtTime,dateTime,,The time this entity was created and available for use
FUNCTION,identifier,string,,identifier is any data item that is used to associate items on when loading into the data store.
FUNCTION,invalidatedAtTime,dateTime,,The time at which this entity was no longer usable
FUNCTION,title,string,,"A short, human-readable identifying label."
FUNCTION,wasAttributedTo,AGENT,,Attribution is the ascribing of an entity to an agent. https://www.w3.org/TR/prov-dm/#concept-attribution
FUNCTION,wasDerivedFrom,ENTITY,,"A derivation is a transformation of an entity into another, an update of an entity resulting in a new one, or the construction of a new entity based on a pre-existing entity."
FUNCTION,wasGeneratedBy (SHARED PROPERTY),ACTIVITY,,Generation is the completion of production of a new entity by an activity. This entity did not exist before generation and becomes available for usage after this generation. (SHARED PROPERTY)
FUNCTION,wasImpactedBy,ENTITY,,"Indicates that an entity materially affected another entity, and changing the former might affect or invalidate the latter."
FUNCTION,wasRevisionOf,ENTITY,,Indicates a direct line of primary descendancy from one entity to a derivative entity.
FUNCTION,parentFunction,FUNCTION,,allows for decomposition of functionality
INTERFACE,,,,INTERFACEs describe directed connections between a SYSTEM providing what another SYSTEM requires
INTERFACE,definedIn,FILE,,The file an ENTITY is defined or contained in
INTERFACE,dataInsertedBy,ACTIVITY,,The activity that caused this data to be added to RACK
INTERFACE,description,string,,"A free-form, multi-line, human-readable explanation of this data element."
INTERFACE,generatedAtTime,dateTime,,The time this entity was created and available for use
INTERFACE,identifier,string,,identifier is any data item that is used to associate items on when loading into the data store.
INTERFACE,invalidatedAtTime,dateTime,,The time at which this entity was no longer usable
INTERFACE,title,string,,"A short, human-readable identifying label."
INTERFACE,wasAttributedTo,AGENT,,Attribution is the ascribing of an entity to an agent. https://www.w3.org/TR/prov-dm/#concept-attribution
INTERFACE,wasDerivedFrom,ENTITY,,"A derivation is a transformation of an entity into another, an update of an entity resulting in a new one, or the construction of a new entity based on a pre-existing entity."
INTERFACE,wasGeneratedBy (SHARED PROPERTY),ACTIVITY,,Generation is the completion of production of a new entity by an activity. This entity did not exist before generation and becomes available for usage after this generation. (SHARED PROPERTY)
INTERFACE,wasImpactedBy,ENTITY,,"Indicates that an entity materially affected another entity, and changing the former might affect or invalidate the latter."
INTERFACE,wasRevisionOf,ENTITY,,Indicates a direct line of primary descendancy from one entity to a derivative entity.
INTERFACE,commodity,string,,the thing conveyed by the interface
INTERFACE,destination,SYSTEM,,SYSTEM that requires what the INTERFACE offers
INTERFACE,identifiedBy,ACTIVITY,,ACTIVITY out of which this INTERFACE was identified
INTERFACE,source,SYSTEM,,SYSTEM that provides what the INTERFACE offers
OP_ENV,,,,defines the operating environment assumptions and constraints
OP_ENV,dataInsertedBy,ACTIVITY,,The activity that caused this data to be added to RACK
OP_ENV,description,string,,"A free-form, multi-line, human-readable explanation of this data element."
OP_ENV,identifier,string,,identifier is any data item that is used to associate items on when loading into the data store.
OP_ENV,title,string,,"A short, human-readable identifying label."
OP_PROCEDURE,,,,"system operational procedures employed, e.g. going through a checklist, limiting people near runways, etc."
OP_PROCEDURE,approvalAuthority,AGENT,,AGENT responsible for approving a document.
OP_PROCEDURE,dateOfIssue,date,,Release date for the document.
OP_PROCEDURE,issuingOrganization,AGENT,,AGENT responsible for producing a document.
OP_PROCEDURE,references,ENTITY,,Source Materials used in the development of a document.
OP_PROCEDURE,status,DOC_STATUS,,"Identifies the maturity of the document, In_Development, Released, Withdrawn."
OP_PROCEDURE,versionNumber,string,,
OP_PROCEDURE,definedIn,FILE,,The file an ENTITY is defined or contained in
OP_PROCEDURE,mitigates,HAZARD,,a HAZARD may be mitigated by a OP_PROCEDURE
OP_PROCEDURE,content,ENTITY,,"A collection is an entity that provides a structure to some constituents, which are themselves entities. These constituents are said to be member of the collections."
OP_PROCEDURE,dataInsertedBy,ACTIVITY,,The activity that caused this data to be added to RACK
OP_PROCEDURE,description,string,,"A free-form, multi-line, human-readable explanation of this data element."
OP_PROCEDURE,generatedAtTime,dateTime,,The time this entity was created and available for use
OP_PROCEDURE,identifier,string,,identifier is any data item that is used to associate items on when loading into the data store.
OP_PROCEDURE,invalidatedAtTime,dateTime,,The time at which this entity was no longer usable
OP_PROCEDURE,title,string,,"A short, human-readable identifying label."
OP_PROCEDURE,wasAttributedTo,AGENT,,Attribution is the ascribing of an entity to an agent. https://www.w3.org/TR/prov-dm/#concept-attribution
OP_PROCEDURE,wasDerivedFrom,ENTITY,,"A derivation is a transformation of an entity into another, an update of an entity resulting in a new one, or the construction of a new entity based on a pre-existing entity."
OP_PROCEDURE,wasGeneratedBy (SHARED PROPERTY),ACTIVITY,,Generation is the completion of production of a new entity by an activity. This entity did not exist before generation and becomes available for usage after this generation. (SHARED PROPERTY)
OP_PROCEDURE,wasImpactedBy,ENTITY,,"Indicates that an entity materially affected another entity, and changing the former might affect or invalidate the latter."
OP_PROCEDURE,wasRevisionOf,ENTITY,,Indicates a direct line of primary descendancy from one entity to a derivative entity.
SYSTEM,,,,SYSTEMs classify logical parts of the whole system being developed
SYSTEM,definedIn,FILE,,The file an ENTITY is defined or contained in
SYSTEM,dataInsertedBy,ACTIVITY,,The activity that caused this data to be added to RACK
SYSTEM,description,string,,"A free-form, multi-line, human-readable explanation of this data element."
SYSTEM,generatedAtTime,dateTime,,The time this entity was created and available for use
SYSTEM,identifier,string,,identifier is any data item that is used to associate items on when loading into the data store.
SYSTEM,invalidatedAtTime,dateTime,,The time at which this entity was no longer usable
SYSTEM,title,string,,"A short, human-readable identifying label."
SYSTEM,wasAttributedTo,AGENT,,Attribution is the ascribing of an entity to an agent. https://www.w3.org/TR/prov-dm/#concept-attribution
SYSTEM,wasDerivedFrom,ENTITY,,"A derivation is a transformation of an entity into another, an update of an entity resulting in a new one, or the construction of a new entity based on a pre-existing entity."
SYSTEM,wasGeneratedBy (SHARED PROPERTY),ACTIVITY,,Generation is the completion of production of a new entity by an activity. This entity did not exist before generation and becomes available for usage after this generation. (SHARED PROPERTY)
SYSTEM,wasImpactedBy,ENTITY,,"Indicates that an entity materially affected another entity, and changing the former might affect or invalidate the latter."
SYSTEM,wasRevisionOf,ENTITY,,Indicates a direct line of primary descendancy from one entity to a derivative entity.
SYSTEM,function,FUNCTION,,functionality / capability of a SYSTEM
SYSTEM,partOf,SYSTEM,,Used to define a relationship to a higher level system
SYSTEM,producedBy,ACTIVITY,,ACTIVITY(s) participating in developing this SYSTEM
SYSTEM,provides,FUNCTION,,List of entities that this SYSTEM provides to others
SYSTEM,requires,FUNCTION,,List of entities that this SYSTEM requires from others
SYSTEM_DEVELOPMENT,,,,ACTIVITY relating to the creation of one or more some SYSTEMs
SYSTEM_DEVELOPMENT,dataInsertedBy,ACTIVITY,,The activity that caused this data to be added to RACK
SYSTEM_DEVELOPMENT,description,string,,"A free-form, multi-line, human-readable explanation of this data element."
SYSTEM_DEVELOPMENT,endedAtTime,dateTime,,The time an activity was ended
SYSTEM_DEVELOPMENT,identifier,string,,identifier is any data item that is used to associate items on when loading into the data store.
SYSTEM_DEVELOPMENT,startedAtTime,dateTime,,The time an activity was started
SYSTEM_DEVELOPMENT,title,string,,"A short, human-readable identifying label."
SYSTEM_DEVELOPMENT,used,ENTITY,,"Usage is the beginning of utilizing an entity by an activity. Before usage, the activity had not begun to utilize this entity and could not have been affected by the entity. (Note: This definition is formulated for a given usage; it is permitted for an activity to have used a same entity multiple times.)"
